,Pressure(hPa),RH(%),WindSpeed(m/s),temperature_mean,temperature_min,temperature_max,petPM(mm),precipitation(mm),precipitation(mm)_Log1
0,21.355972307507074,44.29191486999514,-10.39626782017266,-2142.3356210884954,1275.9651540722432,879.618421715193,-78.62548799741889,-4.660536791347615,-13.751107589821986
1,23.836275724858872,-47.52363710239001,-1.749337465940529,-1656.1192630992932,1080.1143629507058,618.1592731816115,-49.868003595093846,-9.265682028263496,-6.348339152626949
2,6.494327807334266,-48.212936083778885,0.8542749105608571,-244.02473962684135,243.72809492194708,30.44759516733975,8.537573746658893,0.8985908851319486,-12.695054194645143
3,-0.6197311809369843,-60.53948599392825,16.377245712342916,371.3982236430713,-137.31264964505507,-211.08089642668995,43.02582259277134,-2.6575135410191817,1.3131345750599808
4,-17.688159738419472,-24.667524010537402,24.146279439293963,1012.7725811114228,-595.724887856985,-388.07648838652074,58.50295304399236,9.090269651170553,-3.58781431826034
5,-31.78560446279606,5.329973301775925,-3.7069530973214455,1223.671862112624,-802.6224529166175,-430.25804142134444,36.238546856655304,12.742120610833497,12.602735264964833
6,-39.790770291629634,-60.47077675071936,6.116927058324657,1861.216908986313,-1122.8008884834376,-739.7349931493159,87.67543885763382,-3.247989601548408,17.63564003224845
7,-29.078657267882615,-19.089727640850718,-15.215452979865681,1596.4310222526076,-964.412885406236,-669.9317703583644,63.86004991043501,2.743324751749533,-4.4015960998362615
8,4.639480512036881,9.126498977804014,-4.0288639671774895,952.353874847184,-642.5847380866547,-339.3006610944681,10.188787527125713,7.891036675157559,3.8555082847815383
9,38.61923380967645,36.384722948645496,-17.589199507042274,-269.2681021112472,56.01625084373881,185.70739869745123,-42.73851757074973,-5.263333683809174,10.949977409092428
10,33.8478106385581,20.87241120153351,-10.824003779545258,-927.402336112905,583.2946929101474,342.47900593458326,-54.770279379449455,-5.722562788270764,-7.179101247598241
11,39.14313737858055,45.04831096265803,-5.9712495259678855,-2011.6415435520457,1192.1474313469075,835.6596234068164,-77.56777289832127,-8.182836108381416,-7.8120012138482835
12,38.91070981322322,81.69607766620125,-10.329952811535115,-2040.5088796191294,1203.1029679273768,842.6431737874777,-80.43280636109272,-4.962632636636006,-11.202698550178216
13,14.478645098766872,59.85069924719709,-0.02540653018625516,-1891.800728643128,1170.3652772938362,721.2886005481099,-63.557904208093966,-7.749388492180858,-6.764681340936206
14,7.691101107544795,-23.478419097584904,-1.3610687922005518,-718.9153254133533,525.8431732220723,254.30827891469585,-8.590417807264606,-5.724337626639463,-10.605330092911363
15,-11.394658830275533,-24.809643797906936,8.502676393122826,480.39193017363317,-188.901565749812,-266.8048007704632,41.32478720013852,1.3639129822497793,-7.814447259041516
16,-13.256164206872107,22.01131486640019,-5.698477667181553,533.5925813399175,-357.959015209317,-179.27858462716426,24.203002774865997,8.767102070444675,1.9544317766093542
