,Date,Stat,P value,precipitation
0,2018-01-01,1329.075,0.0,54.372723
1,2018-02-01,104.28039,2.2688275e-23,7.756625
2,2018-03-01,4621.522,0.0,110.645615
3,2018-04-01,789.9005,0.0,74.64855
4,2018-05-01,2841.995,0.0,193.5668
5,2018-06-01,128814.7,0.0,230.53307
6,2018-07-01,2536.9495,0.0,68.67139
7,2018-08-01,3299.4255,0.0,129.31914
8,2018-09-01,2045.6589,0.0,181.42743
9,2018-10-01,1092.6029,0.0,48.270844
10,2018-11-01,1027.4528,0.0,43.622246
11,2018-12-01,4979.134,0.0,18.717854
12,2019-01-01,777.72205,0.0,51.314724
13,2019-02-01,402.6598,0.0,23.105476
14,2019-03-01,1266.8088,0.0,43.60428
15,2019-04-01,1490.4658,0.0,115.35589
16,2019-05-01,638.44763,0.0,190.2955
17,2019-06-01,2732.1284,0.0,250.66385
18,2019-07-01,2707.2095,0.0,203.95113
19,2019-08-01,1422.6794,0.0,59.409477
20,2019-09-01,462.75204,0.0,96.41588
21,2019-10-01,2171.0203,0.0,136.78885
22,2019-11-01,1680.312,0.0,25.787148
23,2019-12-01,1281.1819,0.0,13.119093
24,2020-01-01,147180.06,0.0,61.627213
25,2020-02-01,2034.3749,0.0,46.352806
26,2020-03-01,56351.742,0.0,35.77049
27,2020-04-01,9119.587,0.0,68.04694
28,2020-05-01,21714.756,0.0,160.93814
29,2020-06-01,829.2843,0.0,276.6223
30,2020-07-01,1147.2628,0.0,258.8927
31,2020-08-01,2918.153,0.0,38.164856
32,2020-09-01,3012.165,0.0,305.712
33,2020-10-01,2955.2847,0.0,100.2496
34,2020-11-01,22.472773,1.3185586e-05,16.568066
35,2020-12-01,449.80527,0.0,18.944878
36,2021-01-01,610.1616,0.0,25.302711
37,2021-02-01,1040.5707,0.0,38.68907
38,2021-03-01,6206.5967,0.0,15.357548
39,2021-04-01,779.9459,0.0,89.710754
40,2021-05-01,2198.0723,0.0,214.26334
41,2021-06-01,559.1137,0.0,226.47556
42,2021-07-01,2526.7778,0.0,131.90881
43,2021-08-01,15896.955,0.0,128.28879
44,2021-09-01,1783.2299,0.0,88.76887
45,2021-10-01,1580.8242,0.0,99.415405
46,2021-11-01,39689.04,0.0,30.601566
47,2021-12-01,3941.8018,0.0,26.341356
48,2022-01-01,1223.1348,0.0,51.27514
49,2022-02-01,807.29236,0.0,37.71588
50,2022-03-01,44.023266,2.7572064e-10,69.50334
51,2022-04-01,5151.6025,0.0,126.37665
52,2022-05-01,1999.4517,0.0,169.42685
53,2022-06-01,106.18809,8.740772e-24,191.88947
54,2022-07-01,577.43823,0.0,158.02802
55,2022-08-01,3789.102,0.0,23.624228
56,2022-09-01,3783.533,0.0,50.76965
57,2022-10-01,280.47797,0.0,41.539837
58,2022-11-01,915.2494,0.0,10.700918
59,2022-12-01,69003.67,0.0,16.688599
