,Oneset_Data,IR of male,IR of female
0,2018-01-01,8.080982876070781,7.733269961068634
1,2018-02-01,4.571061020807714,4.909323065172784
2,2018-03-01,17.876113634944456,17.59536142827414
3,2018-04-01,95.21683358521784,76.89824624208698
4,2018-05-01,234.879072988825,189.29133269874177
5,2018-06-01,127.74483031364417,102.00965094713007
6,2018-07-01,99.21651197842458,77.24580893696645
7,2018-08-01,36.52767512163308,30.237954454515556
8,2018-09-01,29.95677490422199,23.721153925525137
9,2018-10-01,53.056958277232404,42.40264877529768
10,2018-11-01,75.30006770884137,59.085658129513156
11,2018-12-01,64.36217169476576,51.35238816844452
12,2019-01-01,23.61535188062994,21.66710262446595
13,2019-02-01,14.224683431453272,12.424797279623332
14,2019-03-01,38.15701990108496,31.868515127735634
15,2019-04-01,110.19176775173133,83.13715232365507
16,2019-05-01,209.28907488840161,172.46490539715754
17,2019-06-01,183.2567155166334,147.6589066178394
18,2019-07-01,113.79746745162618,87.45313453657685
19,2019-08-01,41.84196574823023,31.214578428808093
20,2019-09-01,25.47763634101519,21.100357485395413
21,2019-10-01,27.14180543327435,23.541721161391575
22,2019-11-01,29.439943703536997,22.408230883250503
23,2019-12-01,19.019075340104653,16.653587932688115
24,2020-01-01,9.023231258689313,9.177006093532047
25,2020-02-01,1.8996276334082762,1.5366149738007149
26,2020-03-01,1.8600520577122703,1.6219824723451988
27,2020-04-01,2.255807814672328,2.26223871142883
28,2020-05-01,3.5222262369445123,3.6708024374128185
29,2020-06-01,4.392888902256639,3.1159136968736716
30,2020-07-01,13.139091131073911,11.866082297683297
31,2020-08-01,33.63923934160489,26.54929204733457
32,2020-09-01,72.62118140217056,54.421780322108646
33,2020-10-01,138.03960802766807,113.49608931489168
34,2020-11-01,71.59221643407442,60.18408647386133
35,2020-12-01,27.06969377606794,25.994403306795427
36,2021-01-01,9.29067687259775,7.099155620135723
37,2021-02-01,6.14922498042441,4.686142133488605
38,2021-03-01,21.990163245213378,17.870288285169234
39,2021-04-01,61.592508907185795,50.53339837978384
40,2021-05-01,66.90624136309603,55.21954051327245
41,2021-06-01,36.82851048058533,29.061075469619635
42,2021-07-01,28.37332613250176,21.612207749969837
43,2021-08-01,9.725132985345127,8.288176758483578
44,2021-09-01,7.98730853435562,7.099155620135723
45,2021-10-01,12.43212876477109,10.001766046102546
46,2021-11-01,12.465548465751658,11.155815974498994
47,2021-12-01,11.696895343198607,9.652053946588472
48,2022-01-01,7.0351322670615115,4.221400702274988
49,2022-02-01,4.207929580298473,3.7715793159669984
50,2022-03-01,15.187995828889802,13.114023493132956
51,2022-04-01,40.10682881221983,28.20034075700095
52,2022-05-01,79.65479197705626,60.96809866728304
53,2022-06-01,77.94532058506,60.69128550647812
54,2022-07-01,41.84917465406216,33.7366039730993
55,2022-08-01,11.966299743973783,10.17288365958071
56,2022-09-01,1.512224692919764,1.3148625138233574
57,2022-10-01,1.5779735926119276,1.8338871903325773
58,2022-11-01,2.3669603889178914,1.5224723844270451
59,2022-12-01,2.1697136898414002,1.5224723844270451
