Date,Datetime,IR,trend,seasonal,resid
2018-01-01,2018-01-01,7.912557818490974,66.72358317658619,-59.5359442466879,0.7249188885926827
2018-02-01,2018-02-01,4.734908269043801,66.31943760779873,-60.87428304352852,-0.7102462952264119
2018-03-01,2018-03-01,17.740122981350773,65.91549939761961,-48.246509433897195,0.07113301762835533
2018-04-01,2018-04-01,86.34368279060763,65.51119336368393,20.874350727395644,-0.04186130047193615
2018-05-01,2018-05-01,212.79729962920408,65.10584066996309,147.54137869458356,0.15008026465743285
2018-06-01,2018-06-01,115.27923332365307,64.6985344353262,50.428993878485315,0.15170500984156376
2018-07-01,2018-07-01,88.57435068624604,64.28796618097984,24.13328298790642,0.1531015173597865
2018-08-01,2018-08-01,33.4810624713275,63.87215058347193,-28.71500303004164,-1.6760850821027944
2018-09-01,2018-09-01,26.9363670416714,63.44812351314934,-36.74882352204458,0.2370670505666368
2018-10-01,2018-10-01,47.89622764597196,63.0119849746235,-15.292588048665412,0.1768307200138679
2018-11-01,2018-11-01,67.44613778793503,62.554889908282824,4.58740702650432,0.30384085314788223
2018-12-01,2018-12-01,58.060497396852654,62.054822630890605,-4.667351198850961,0.6730259648130072
2019-01-01,2019-01-01,22.687730068735725,61.22510683445889,-48.265564410075655,9.728187644352495
2019-02-01,2019-02-01,13.367701888623792,60.386231337801995,-48.99453416793274,1.9760047187545382
2019-03-01,2019-03-01,35.162868011379985,59.528257094683354,-35.775046826305754,11.409657743002384
2019-04-01,2019-04-01,97.31022741283904,58.56054438097694,22.13980959669106,16.609873435171046
2019-05-01,2019-05-01,191.75594727811588,57.49537383687926,109.65975012845436,24.60082331278226
2019-06-01,2019-06-01,166.30749616716437,56.37470744884389,35.99673298568947,73.936055732631
2019-07-01,2019-07-01,101.25411461600446,55.21457767761993,24.90216584614902,21.13737109223551
2019-08-01,2019-08-01,36.78193749478473,54.011366770360254,-19.287837194605235,2.0584079190297047
2019-09-01,2019-09-01,23.39347830509164,52.71888129616547,-29.31035141325053,-0.015051577823300022
2019-10-01,2019-10-01,25.42769380988222,51.27938659219163,-13.174403727016232,-12.677289055293173
2019-11-01,2019-11-01,26.09192744409955,49.88763210535435,1.1644449698193233,-24.960149631074124
2019-12-01,2019-12-01,17.892793521729367,48.6942258777659,-5.584948156093525,-25.21648419994301
2020-01-01,2020-01-01,9.09721348038647,47.575922077942586,-36.96541879451229,-1.5132898030438255
2020-02-01,2020-02-01,1.7249795312696692,46.43619588037973,-36.93213657479021,-7.779079774319847
2020-03-01,2020-03-01,1.7455150018800225,45.19536078965182,-23.26569775853521,-20.18414802923659
2020-04-01,2020-04-01,2.2589017671388527,43.82580800182972,23.384041998744607,-64.95094823343547
2020-05-01,2020-05-01,3.593707356811811,42.38546693821431,71.81100951155906,-110.60276909296157
2020-06-01,2020-06-01,3.778526592304989,41.000229236038656,21.602944931884412,-58.82464757561808
2020-07-01,2020-07-01,12.526637072315456,39.78124376897515,25.716950014318673,-52.97155671097837
2020-08-01,2020-08-01,30.228212738439915,38.69348549161807,-10.59851014035737,2.1332373871792143
2020-09-01,2020-09-01,63.86531359819847,37.66940340080897,-21.824981213511684,48.02089141090118
2020-10-01,2020-10-01,126.23153784184112,36.660326644658475,-10.983694883155048,100.55490608033767
2020-11-01,2020-11-01,66.10367989472697,35.55386330332316,-2.1758144335974934,32.7256310250013
2020-12-01,2020-12-01,26.55236349918669,34.269588341486575,-6.3868825399521025,-1.3303423023477805
2021-01-01,2021-01-01,8.219774556021095,32.90986461719534,-24.343754861682214,-0.3463351994920316
2021-02-01,2021-02-01,5.434279228305008,31.515424888834332,-24.587626047585356,-1.4935196129439667
2021-03-01,2021-03-01,19.976957288957717,30.0814076343506,-11.170266371372307,1.065816025979423
2021-04-01,2021-04-01,56.18839654926687,28.63413424187552,23.285840820423207,4.268421486968148
2021-05-01,2021-05-01,61.19545256779947,27.208950279458303,34.06808837884873,-0.08158609050756027
2021-06-01,2021-06-01,33.03289857960245,25.816923127324838,7.305180083016836,-0.08920463073922136
2021-07-01,2021-07-01,25.0694579494448,24.447181973395015,26.61286558601889,-25.990589609969106
2021-08-01,2021-08-01,9.02295419039322,23.080757389936046,-4.05263868969447,-10.005164509848356
2021-09-01,2021-09-01,7.553306348776141,21.707448426074333,-14.364650372365485,0.21050829506729585
2021-10-01,2021-10-01,11.244514881209732,20.333211758075354,-8.601435571610565,-0.48726130525505695
2021-11-01,2021-11-01,11.825538446500204,18.972970760025078,-4.415704678881166,-2.7317276346437076
2021-12-01,2021-12-01,10.697669172701053,17.655771231366305,-5.896869249181842,-1.0612328094834105
2022-01-01,2022-01-01,5.664278229346626,16.41326521723839,-11.290320067939001,0.541333080047238
2022-02-01,2022-02-01,3.995339108199852,15.40630554976465,-12.347942598502334,0.9369761569375363
2022-03-01,2022-03-01,14.177553544287235,14.436015594784477,0.6298901406797456,-0.8883521911769865
2022-04-01,2022-04-01,34.30597082357257,13.472605549181855,22.82477423354887,-1.9914089591581519
2022-05-01,2022-05-01,70.55060830302271,12.514721670677064,-3.756644117460312,61.79253074980596
2022-06-01,2022-06-01,69.53913004778224,11.563231379062348,-7.074663817548685,65.05056248626857
2022-07-01,2022-07-01,37.89671862967623,10.618282508806674,27.43059361398926,-0.15215749311970406
