,index,PDP,PDP 95CI,RR,RR 95CI
0,0.6108935,-0.053357130681005005,[-0.16548254  0.05876828],0.9480413773546849,[0.84748466 1.06052947]
1,0.8184939494949495,-0.03565276760972136,[-0.1377672   0.06646166],0.9649753059982205,[0.87130151 1.06871999]
2,1.026094398989899,-0.011568264670566078,[-0.09981654  0.07668001],0.9884983904276494,[0.90500343 1.07969653]
3,1.2336948484848484,0.016774566125879232,[-0.06171058  0.09525971],1.0169160491586253,[0.94015495 1.09994448]
4,1.441295297979798,0.04725391276903294,[-0.03118774  0.12569556],1.0483881744312262,[0.96929358 1.1339369 ]
5,1.6488957474747474,0.07774796324831351,[-0.00780831  0.16330424],1.0808502103619528,[0.99222209 1.17739485]
6,1.856496196969697,0.10613455726232814,[0.01418518 0.19808393],1.1119714902800142,[1.01428627 1.21906471]
7,2.0640966464646464,0.13018973039554796,[0.03726368 0.22311578],1.139044474183105,[1.03796668 1.24996528]
8,2.271697095959596,0.14744681113570415,[0.05656767 0.23832595],1.1588716441238502,[1.05819822 1.2691228 ]
9,2.4792975454545454,0.15540373130438623,[0.06585715 0.24495032],1.1681294763531673,[1.06807413 1.27755784]
10,2.686897994949495,0.1515584227231838,[0.06072508 0.24239177],1.1636462832085146,[1.06260674 1.27429332]
11,2.8944984444444444,0.13340881721368644,[0.0399305  0.22688713],1.14271706525854,[1.04073844 1.25468825]
12,3.102098893939394,0.09852143676436931,[0.00429171 0.19275116],1.10353806042621,[1.00430094 1.21258102]
13,3.3096993434343434,0.048052037883652296,[-0.04376997  0.13987405],1.0492252533655346,[0.95717411 1.15012893]
14,3.517299792929293,-0.011563450258128785,[-0.10031841  0.07719151],0.9885031494780506,[0.90454935 1.08024894]
15,3.7249002424242423,-0.07346644334191195,[-0.16104046  0.01410757],0.9291673250186133,[0.85125763 1.01420756]
16,3.932500691919192,-0.13079835704863527,[-0.21942022 -0.04217649],0.8773946770070448,[0.80298422 0.95870056]
17,4.140101141414141,-0.1767006070592373,[-0.26617646 -0.08722475],0.8380306474278113,[0.76630389 0.91647109]
