,index,PDP,PDP 95CI,RR,RR 95CI
0,69.71791,-0.3314447088766224,[-0.4392322  -0.22365721],0.7178858478344119,[0.6445311  0.79958918]
1,69.9289401010101,-0.3306103331597075,[-0.43611604 -0.22510463],0.71848508431278,[0.6465427  0.79843268]
2,70.13997020202021,-0.3154319285848702,[-0.41481106 -0.2160528 ],0.7294737256590859,[0.66046506 0.80569276]
3,70.3510003030303,-0.2907482351105135,[-0.38274933 -0.19874714],0.7477038999129947,[0.68198383 0.81975715]
4,70.56203040404041,-0.26139799269503555,[-0.34689808 -0.1758979 ],0.7699744144334045,[0.70687737 0.83870361]
5,70.77306050505051,-0.2322199412968412,[-0.31308942 -0.15135046],0.7927717408856493,[0.73118453 0.85954641]
6,70.9840906060606,-0.2080427751351983,[-0.28558617 -0.13049938],0.8121722951891766,[0.75157357 0.87765704]
7,71.19512070707071,-0.19075885608786286,[-0.26489747 -0.11662024],0.82633182901734,[0.76728462 0.88992308]
8,71.40615080808081,-0.1752601541160239,[-0.24534819 -0.10517211],0.8392386609748603,[0.78243205 0.90016958]
9,71.6171809090909,-0.15541769443364062,[-0.22084731 -0.08998807],0.8560575323294881,[0.8018391  0.91394208]
10,71.82821101010101,-0.12510250225467115,[-0.18532954 -0.06487546],0.8824064492982523,[0.83083044 0.93718417]
11,72.03924111111111,-0.07818560279307965,[-0.13261256 -0.02375865],0.9247927664932587,[0.87580435 0.97652137]
12,72.25027121212122,-0.008669760251691963,[-0.0570602   0.03972068],0.9913677137446671,[0.9445372 1.0405201]
13,72.46130131313132,0.08254853065172475,[0.03809537 0.12700169],1.0860513789413566,[1.0388303  1.13541894]
14,72.67233141414141,0.18443131266715299,[0.13827913 0.23058349],1.2025343795688699,[1.14829603 1.25933461]
15,72.88336151515152,0.2851288480159252,[0.23135686 0.33890084],1.329933376359153,[1.26030891 1.40340417]
16,73.09439161616162,0.3727913989193532,[0.30864348 0.43693932],1.4517814650613965,[1.36157685 1.54796214]
17,73.30542171717173,0.4355692275987727,[0.36128235 0.50985611],1.5458427449105878,[1.43516862 1.66505159]
18,73.51645181818182,0.46207282826188645,[0.37880367 0.54534198],1.5873609037516587,[1.46053627 1.72519827]
19,73.72748191919192,0.45016784041190383,[0.35724882 0.54308686],1.568575433744605,[1.42939148 1.72131212]
20,73.93851202020203,0.4062913297237102,[0.30148996 0.5110927 ],1.5012398445459698,[1.35187154 1.66711185]
21,74.14954212121212,0.3372035975059858,[0.21926901 0.45513818],1.4010242797520986,[1.2451662 1.5763912]
22,74.36057222222222,0.249664945067403,[0.12009783 0.37923206],1.2835952697037587,[1.12760716 1.46116207]
23,74.57160232323233,0.1504356737166295,[0.01387514 0.28699621],1.1623405336517358,[1.01397184 1.33241916]
24,74.78263242424242,0.046311447872242444,[-0.09059561  0.1832185 ],1.047400570842574,[0.913387   1.20107682]
25,74.99366252525253,-0.05555440539006306,[-0.18854951  0.0774407 ],0.9459605569173296,[0.8281595  1.08051816]
26,75.20469262626263,-0.14780088258301322,[-0.27701718 -0.01858459],0.8626028570958413,[0.75804148 0.98158704]
27,75.41572272727272,-0.22306442212402225,[-0.35146305 -0.09466579],0.8000633058567875,[0.70365785 0.9096769 ]
28,75.62675282828283,-0.27398146243049964,[-0.40428671 -0.14367621],0.7603461701002122,[0.66745273 0.86616816]
