,index,PDP,PDP 95CI,RR,RR 95CI
0,2.8225477,-0.06958812536188282,[-0.15364012  0.01446387],0.932777928369942,[0.85758059 1.01456898]
1,3.047735804040404,-0.059393103230088555,[-0.14021056  0.02142436],0.9423362609098833,[0.8691752  1.02165551]
2,3.272923908080808,-0.04178126533792176,[-0.11829438  0.03473185],0.9590795415700792,[0.88843448 1.03534204]
3,3.498112012121212,-0.016720817348244706,[-0.09140446  0.05796283],0.9834181996139694,[0.91264851 1.0596756 ]
4,3.723300116161616,0.015820035076080388,[-0.06066426  0.09230433],1.015945834338416,[0.94113916 1.09669853]
5,3.9484882202020204,0.05587308627219135,[-0.024128    0.13587417],1.057463468589099,[0.97616075 1.14553774]
6,4.173676324242424,0.10346259742890336,[0.02147609 0.18544911],1.1090043129766736,[1.02170836 1.20375894]
7,4.398864428282828,0.15641091838093493,[0.07514288 0.23767896],1.1693065939547957,[1.07803816 1.26830195]
8,4.624052532323232,0.2072909106042448,[0.12671994 0.28786189],1.2303404388050523,[1.13509907 1.33357311]
9,4.8492406363636364,0.24790984450083806,[0.16575092 0.33006877],1.2813444067418838,[1.18027908 1.39106378]
10,5.0744287404040405,0.27007499047271966,[0.18434497 0.35580501],1.3100626892700848,[1.20243055 1.42732921]
11,5.2996168444444445,0.26559361892189476,[0.17689029 0.35429694],1.304204946768159,[1.19350015 1.42517832]
12,5.5248049484848485,0.2264317269805696,[0.13830697 0.31455648],1.254116984557734,[1.148328   1.36965172]
13,5.7499930525252525,0.15286127581550155,[0.06847718 0.23724537],1.1651633313978296,[1.07087619 1.26775215]
14,5.9751811565656565,0.05737324543504081,[-0.02466689  0.13941338],1.059051022594996,[0.97563485 1.14959922]
15,6.2003692606060605,-0.046563304162195056,[-0.13114909  0.03802248],0.9545041345728311,[0.877087   1.03875459]
16,6.4255573646464645,-0.1454793129775896,[-0.23676088 -0.05419775],0.8646077760493884,[0.78917997 0.94724477]
17,6.6507454686868686,-0.22590572101252498,[-0.32370413 -0.12810732],0.7977933132659708,[0.72346427 0.87975896]
18,6.8759335727272735,-0.27491181969040496,[-0.37416053 -0.17566311],0.7596391054831689,[0.68786648 0.83890055]
19,7.1011216767676775,-0.29039300722038514,[-0.38498383 -0.19580218],0.7479695523725894,[0.68046164 0.82217486]
20,7.3263097808080815,-0.2802710154971729,[-0.36691195 -0.19363008],0.7555789401027034,[0.69287065 0.82396265]
21,7.5514978848484855,-0.25284567782572825,[-0.33152663 -0.17416472],0.7765877172819095,[0.71782704 0.84015849]
22,7.7766859888888895,-0.21641682751101093,[-0.28954508 -0.14328857],0.8053995192196517,[0.74860404 0.86650398]
23,8.001874092929294,-0.17928429785798092,[-0.24969138 -0.10887722],0.8358682300668333,[0.77904117 0.89684053]
24,8.227062196969698,-0.14901854181955118,[-0.21860761 -0.07942947],0.8615531399880013,[0.803637   0.92364316]
25,8.452250301010102,-0.12581305609127344,[-0.19730006 -0.05432605],0.8817796747151739,[0.82094426 0.94712325]
26,8.677438405050506,-0.10557791618086937,[-0.18279434 -0.0283615 ],0.8998043607960644,[0.83293944 0.97203692]
27,8.90262650909091,-0.08417043570716853,[-0.1694621   0.00112123],0.919274565532012,[0.84411874 1.00112186]
28,9.127814613131314,-0.05744792828900017,[-0.1496084   0.03471254],0.9441710537086451,[0.8610451  1.03532205]
29,9.353002717171718,-0.021267707545193762,[-0.11513333  0.07259791],0.9789568553501208,[0.89124731 1.07529809]
30,9.578190821212122,0.02727538479265831,[-0.06056822  0.11511899],1.0276507631925484,[0.94122955 1.12200694]
31,9.803378925252526,0.08402141316282571,[0.00739911 0.16064372],1.0876521836327768,[1.00742655 1.17426653]
32,10.02856702929293,0.14230715180333156,[0.07678989 0.20782441],1.1529307189069737,[1.07981518 1.230997  ]
33,10.253755133333334,0.19546644155222848,[0.13540787 0.25552501],1.2158779902594885,[1.1450037  1.29113931]
34,10.478943237373738,0.23683312324756842,[0.17504894 0.29861731],1.2672296289644247,[1.19130452 1.34799365]
