,index,PDP,PDP 95CI,RR,RR 95CI
0,2.0798857,0.09970552144548249,[0.0067124  0.19269864],1.10484551685539,[1.00673498 1.21251733]
1,2.097315266666667,0.10229353204458738,[0.00873556 0.1958515 ],1.1077085719738677,[1.00877383 1.21634627]
2,2.1147448333333334,0.10374172130655174,[0.01140874 0.1960747 ],1.1093139057662003,[1.01147407 1.21661778]
3,2.1321744000000002,0.10921617834890697,[0.01798379 0.20044857],1.1154034503564705,[1.01814647 1.22195076]
4,2.1496039666666666,0.12388299228918408,[0.03307376 0.21469222],1.131883424162304,[1.03362678 1.23948035]
5,2.1670335333333335,0.15290825224491522,[0.06268052 0.24313598],1.165218067896475,[1.06468664 1.27524203]
6,2.1844631000000003,0.20144414027453994,[0.11330344 0.28958484],1.2231679093308365,[1.11997173 1.33587277]
7,2.2018926666666667,0.270577856571638,[0.18575582 0.35539989],1.3107216410523468,[1.2041282  1.42675109]
8,2.2193222333333336,0.3517054414479768,[0.26833977 0.43507111],1.4214897500824273,[1.30779141 1.54507293]
9,2.2367518000000004,0.4348095659505986,[0.34845654 0.52116259],1.5446688733922094,[1.41687897 1.68398429]
10,2.254181366666667,0.5098729011265454,[0.41634368 0.60340213],1.6650795517611248,[1.51640693 1.82832844]
11,2.2716109333333336,0.566878118022865,[0.4646854  0.66907084],1.762755338330499,[1.59151342 1.95242236]
12,2.2890405,0.595912204226213,[0.48652589 0.70529852],1.814685554006351,[1.62665521 2.02445094]
13,2.306470066666667,0.5925208966161193,[0.47800722 0.70703457],1.8085418206102708,[1.61285713 2.02796854]
14,2.3238996333333333,0.56028037383464,[0.44116302 0.67939773],1.7511634118743729,[1.5545141  1.97268928]
15,2.3413292,0.5034096169045081,[0.37950224 0.62731699],1.6543523731111571,[1.46155691 1.87257969]
16,2.358758766666667,0.4261276068484587,[0.2979432  0.55431202],1.5313161690965105,[1.34708527 1.74074297]
17,2.3761883333333333,0.33265332468922887,[0.20219153 0.46311512],1.3946637191738795,[1.22408243 1.58901626]
18,2.3936179,0.2273761801968229,[0.0974122  0.35734016],1.2553019988845684,[1.10231466 1.42952205]
19,2.411047466666667,0.11811286082993233,[-0.01145093  0.24767665],1.1253711145183334,[0.98861438 1.28104565]
20,2.4284770333333334,0.015854143350058476,[-0.11764056  0.14934885],1.0159804870882498,[0.88901554 1.16107796]
21,2.4459066000000003,-0.06828949792492,[-0.21074642  0.07416743],0.9339900462547412,[0.80997943 1.07698711]
22,2.4633361666666667,-0.12320758867711537,[-0.27620581  0.02979063],0.8840801184883834,[0.75865678 1.03023881]
23,2.4807657333333335,-0.1377896545886464,[-0.29743226  0.02185296],0.871281942630759,[0.74272289 1.02209348]
24,2.4981953000000003,-0.10233841453859376,[-0.25981188  0.05513505],0.9027240050434384,[0.77119665 1.05668332]
25,2.5156248666666667,-0.02144962994272446,[-0.1685203   0.12562104],0.9787787773705939,[0.84491411 1.1338524 ]
26,2.5330544333333336,0.09198169903157136,[-0.04074356  0.22470696],1.096344757726421,[0.9600753  1.25195579]
27,2.550484,0.22495834469975157,[0.10592683 0.34398986],1.252270551399591,[1.11174053 1.41056433]
28,2.567913566666667,0.3644830793772865,[0.25512398 0.47384218],1.4397695691756025,[1.29062162 1.60615349]
29,2.5853431333333337,0.4975586753796377,[0.39335774 0.60175961],1.6447011161177314,[1.48194845 1.82532784]
30,2.6027727,0.6125452414186223,[0.51074419 0.71434629],1.84512170745782,[1.66653095 2.04285082]
31,2.620202266666667,0.7055519699645882,[0.60328129 0.80782265],2.0249640958656254,[1.82810753 2.24301882]
32,2.6376318333333337,0.7754336936591126,[0.66888818 0.88197921],2.171533703388578,[1.95206577 2.4156761 ]
33,2.6550614,0.8210484625337519,[0.70735312 0.93474381],2.272881619931567,[2.02861465 2.54656096]
34,2.672490966666667,0.8412543266200658,[0.72042763 0.96208102],2.3192742805149624,[2.05531194 2.61713712]
35,2.6899205333333334,0.8349095292464602,[0.71034594 0.95947312],2.304605539455413,[2.03469502 2.61032078]
36,2.7073501,0.8019988477844472,[0.67846238 0.92553532],2.229993894965053,[1.97084498 2.52321862]
37,2.7247796666666666,0.7462865929179706,[0.62554368 0.8670295 ],2.1091533117797496,[1.86926197 2.37983106]
38,2.7422092333333334,0.6723288192294866,[0.55254789 0.79210975],1.9587936895076892,[1.73767478 2.20804996]
39,2.7596388000000003,0.5846815813014549,[0.46246224 0.70690092],1.7944195179341824,[1.58797916 2.02769752]
40,2.7770683666666667,0.48790093371633786,[0.36121752 0.61458435],1.6288934735563185,[1.43507558 1.84888795]
41,2.7944979333333335,0.3865413344738385,[0.2565296  0.51655306],1.4718812352454316,[1.29243703 1.67623979]
42,2.8119275000000004,0.2849325973913088,[0.15423319 0.415632  ],1.3296724017124006,[1.16676294 1.51532813]
43,2.8293570666666668,0.18695020870707243,[0.05608659 0.31781383],1.2055672568030678,[1.05768927 1.37412041]
44,2.8467866333333336,0.09641484696720473,[-0.03588879  0.22871848],1.1012158052856194,[0.96474758 1.25698813]
45,2.8642162000000004,0.017147190717788148,[-0.11771531  0.15200969],1.0172950476941507,[0.88894909 1.16417152]
46,2.881645766666667,-0.047032081495095676,[-0.18347121  0.08940705],0.9540567895311832,[0.83237584 1.09352568]
47,2.8990753333333337,-0.09244123185855696,[-0.22667823  0.04179577],0.9117027884685479,[0.79717725 1.0426815 ]
48,2.9165049,-0.12044251675689892,[-0.24863461  0.00774958],0.8865280463879253,[0.77986488 1.00777968]
49,2.933934466666667,-0.13875098417374235,[-0.26066948 -0.01683249],0.8704447559929639,[0.77053555 0.98330839]
50,2.9513640333333333,-0.15548675711657306,[-0.27445293 -0.03652058],0.8559984127410631,[0.75998778 0.96413825]
51,2.9687936,-0.17876995859287906,[-0.29939125 -0.05814866],0.8362982604992959,[0.74126933 0.94350967]
52,2.986223166666667,-0.21672071161014766,[-0.34198693 -0.09145449],0.805154808296071,[0.71035749 0.91260284]
53,3.0036527333333334,-0.27680684183047544,[-0.40706526 -0.14654842],0.758200935672017,[0.66560075 0.86368391]
54,3.0210823,-0.3562661956482412,[-0.49158737 -0.22094502],0.7002861822876197,[0.6116547  0.80176076]
55,3.038511866666667,-0.4442142129130456,[-0.58577477 -0.30265366],0.6413280253673727,[0.5566744  0.73885495]
56,3.0559414333333335,-0.5295425954850208,[-0.67820031 -0.38088488],0.5888742618320537,[0.50752957 0.68325654]
57,3.0733710000000003,-0.6011430452243051,[-0.75563095 -0.44665514],0.5481846779633575,[0.46971415 0.6397645 ]
58,3.090800566666667,-0.6479072639910282,[-0.80392518 -0.49188935],0.5231394247154633,[0.44756872 0.61147002]
59,3.1082301333333335,-0.6601168544539472,[-0.81130781 -0.5089259 ],0.5167909416398909,[0.44427666 0.60114092]
60,3.1256597,-0.6395749821068603,[-0.7826908  -0.49645916],0.5275165803900388,[0.45717419 0.60868209]
61,3.1430892666666668,-0.5937816976423054,[-0.73113245 -0.45643095],0.5522349453398251,[0.48136356 0.63354076]
62,3.1605188333333336,-0.5302775404427409,[-0.66770315 -0.39285193],0.5884416306621111,[0.51288524 0.67512871]
63,3.1779484,-0.4566030498906282,[-0.59887435 -0.31433175],0.6334317309595208,[0.54942975 0.73027672]
64,3.195377966666667,-0.38029876536842205,[-0.52705694 -0.23354059],0.6836571256244331,[0.59033982 0.79172546]
