,index,PDP,PDP 95CI,RR,RR 95CI
0,0.0,-0.6188621126271189,[-0.7966797  -0.44104452],0.5385569061715704,[0.45082335 0.64336406]
1,3.088,-0.5296663404115685,[-0.70005089 -0.35928179],0.5888013961382504,[0.49656003 0.69817758]
2,6.176,-0.3881230052432971,[-0.54298392 -0.23326209],0.6783289001208423,[0.58101197 0.79194599]
3,9.264,-0.2206221384748781,[-0.3576296  -0.08361468],0.802019675419221,[0.69933206 0.9197856 ]
4,12.352,-0.05355377145888328,[-0.1755644   0.06845685],0.94785497208882,[0.83898337 1.07085442]
5,15.440000000000001,0.086692064452114,[-0.0260348   0.19941893],1.090560805567971,[0.97430118 1.22069325]
6,18.528,0.17376734440054495,[0.06556308 0.28197161],1.1897787249348517,[1.06776008 1.32574109]
7,21.616,0.19360238643884897,[0.08688674 0.30031803],1.2136136377690812,[1.09077313 1.35028817]
8,24.704,0.16139981245268978,[0.05127012 0.27152951],1.175154716391599,[1.05260718 1.31196959]
9,27.792,0.09663134885700916,[-0.02255178  0.21581447],1.1014542463990906,[0.97770061 1.24087214]
10,30.880000000000003,0.018768722066748803,[-0.11237438  0.14991182],1.0189459616477563,[0.89370961 1.1617318 ]
11,33.968,-0.052716341503149425,[-0.19393402  0.08850134],0.9486490666890339,[0.82371225 1.09253571]
12,37.056,-0.09854922151657317,[-0.24322559  0.04612714],0.9061510893856966,[0.78409461 1.04720755]
13,40.144,-0.10976960323468472,[-0.25011444  0.03057523],0.8960405563620194,[0.77871167 1.03104745]
14,43.232,-0.09259068987595537,[-0.22437423  0.03919285],0.9115665373594907,[0.79901606 1.03997102]
15,46.32,-0.054440259616830106,[-0.17750317  0.06862265],0.9470150822118303,[0.83735834 1.07103198]
16,49.408,-0.002746090633753709,[-0.11964611  0.11415393],0.9972576764241143,[0.88723436 1.12092466]
17,52.496,0.05506403889682888,[-0.05838941  0.16851749],1.0566082765373854,[0.94328255 1.18354893]
18,55.584,0.1117001620747854,[0.00060984 0.22279048],1.1181775383432673,[1.00061003 1.24955874]
19,58.672000000000004,0.16264366084874277,[0.05221659 0.27307073],1.176617340153231,[1.05360392 1.31399318]
20,61.760000000000005,0.20594253403769539,[0.0918948  0.31999027],1.228682594538849,[1.09624949 1.37711436]
21,64.848,0.23974156972466,[0.11766185 0.36182129],1.2709206635007593,[1.12486367 1.4359423 ]
22,67.936,0.2621855559926534,[0.13077176 0.39359935],1.2997676997403418,[1.13970763 1.48230655]
23,71.024,0.2714192809246924,[0.13379789 0.40904067],1.3118249782835152,[1.14316175 1.50537295]
24,74.112,0.265895991372944,[0.12833054 0.40346144],1.3045993620417353,[1.13692874 1.49699751]
25,77.2,0.2471886876088113,[0.11350879 0.38086858],1.280420689504461,[1.12020174 1.46355526]
26,80.288,0.21868185114752683,[0.08747056 0.34989315],1.2444352980387468,[1.09141013 1.41891593]
27,83.376,0.18378227678334155,[0.05042649 0.31713806],1.201754144832573,[1.05171955 1.37319214]
28,86.464,0.14589675931050658,[0.00685819 0.28493533],1.1570767244853193,[1.00688176 1.32967603]
29,89.552,0.10843209352327218,[-0.03529387  0.25215806],1.1145292222158838,[0.96532169 1.28679941]
30,92.64,0.07467141291050744,[-0.06820423  0.21754706],1.0775300302516024,[0.93406968 1.24302393]
31,95.72800000000001,0.047191863988601805,[-0.09004414  0.18442787],1.0483231252417164,[0.91389084 1.20253024]
32,98.816,0.02832044935339805,[-0.10184505  0.15848595],1.0287252859610148,[0.90316948 1.17173546]
33,101.904,0.020383878477644512,[-0.10423911  0.14500686],1.0205930485434804,[0.90100983 1.1560475 ]
34,104.992,0.02570886083408948,[-0.09595196  0.14736968],1.0260421839189058,[0.90850766 1.15878227]
35,108.08,0.04662176783248712,[-0.07338803  0.16663157],1.0477256505828354,[0.92924019 1.18131895]
36,111.168,0.08347873975314099,[-0.03447741  0.20143489],1.087062103838522,[0.96611016 1.2231566 ]
37,114.256,0.13002577115326705,[0.01375808 0.24629346],1.1388577326236144,[1.01385316 1.27927494]
38,117.34400000000001,0.17862415056636294,[0.06210213 0.29514617],1.195571304914605,[1.06407101 1.3433227 ]
39,120.432,0.22163516652592644,[0.10255965 0.34071068],1.2481159403153517,[1.10800339 1.40594641]
40,123.52000000000001,0.25142010756545513,[0.12906663 0.37377358],1.2858501662598874,[1.13776593 1.45320808]
41,126.608,0.26037509366475436,[0.13692663 0.38382356],1.297416648172274,[1.14674401 1.46788642]
42,129.696,0.24579713814738355,[0.12538656 0.36620772],1.278640159918393,[1.13358657 1.44225479]
43,132.784,0.21489497777681937,[0.10057636 0.3292136 ],1.2397316907505984,[1.10580807 1.3898747 ]
44,135.872,0.17607304755931652,[0.06894136 0.28320473],1.19252516652196,[1.07137338 1.32737689]
